td01,td02,td03,cov_scaled,prec_scaled,catalog_idx,td01_true
-168.45864034143133,,,[[57.54984874]],[[0.01737624]],deblcdouble207,-171.0714651827335
-108.42746507849355,,,[[32.83091757]],[[0.03045909]],deblcdouble401,-111.21331528073556
-81.3765104946049,,,[[0.93206901]],[[1.07288193]],deblcdouble2,-84.44626564104115
-40.7729732092011,,,[[6.19903212]],[[0.16131551]],deblcdouble3,-39.06741242785736
-80.90951204341009,,,[[9.47894245]],[[0.105497]],deblcdouble302,-77.70064958370595
-82.6372364573441,,,[[2.91038251]],[[0.34359745]],deblcdouble212,-86.64054524983524
-20.437873795480286,,,[[1.67678457]],[[0.59637953]],deblcdouble240,-20.178936266086808
-51.3083569389395,,,[[15.27011441]],[[0.06548739]],deblcdouble68,-51.581271737371374
-191.79488178692205,,,[[5.2078613]],[[0.1920174]],deblcdouble120,-190.96310518834844
-157.7147048181529,,,[[10.8720501]],[[0.09197897]],deblcdouble215,-159.03497765239698
-130.4232666934025,,,[[36.2848075]],[[0.02755974]],deblcdouble179,-143.6000155291236
-1.6980524450010943,-0.82344404552842,-24.69101868459893,"[[ 4.25573167  2.4993902   2.66767915]
 [ 2.4993902   4.85112939  2.80511765]
 [ 2.66767915  2.80511765 15.77339292]]","[[ 0.34935675 -0.16254463 -0.03017835]
 [-0.16254463  0.30539196 -0.02682007]
 [-0.03017835 -0.02682007  0.07327146]]",deblcquad420,-4.875156087054033
-23.605422190843925,,,[[3.3511689]],[[0.29840334]],deblcdouble286,-20.27722913446824
-65.90492032604625,,,[[0.98481874]],[[1.01541528]],deblcdouble34,-70.07157380415515
-1530.3305484265388,,,[[34.33123426]],[[0.02912799]],deblcdouble493,-1530.280443171364
-42.73586979621982,,,[[4.41222649]],[[0.22664294]],deblcdouble57,-43.38890586105408
-33.362691805561255,,,[[9.57427485]],[[0.10444655]],deblcdouble427,-35.57056640006271
-122.31889240668357,,,[[17.89785332]],[[0.05587262]],deblcdouble416,-122.8344471128918
-339.41495920803277,,,[[20.18035714]],[[0.04955314]],deblcdouble101,-334.4705498690307
-161.27299147067077,,,[[3.56521828]],[[0.28048773]],deblcdouble320,-156.6462757145237
-36.732788484948415,,,[[4.04619604]],[[0.24714571]],deblcdouble258,-32.87119021459568
-30.751974105232517,,,[[0.34735259]],[[2.87891912]],deblcdouble210,-18.910028258293003
-18.82391319875501,,,[[6.5271162]],[[0.15320702]],deblcdouble239,-16.142678052351844
-81.19742257255376,,,[[7.41659203]],[[0.13483282]],deblcdouble233,-82.10035020881699
-44.6493569196425,,,[[2.70577509]],[[0.36957987]],deblcdouble173,-42.28781205065203
-151.31511437019165,,,[[5.63068445]],[[0.1775983]],deblcdouble336,-143.85861005486012
-1.3419693792774046,-0.5539471473374183,-7.653431085544647,"[[0.27867024 0.16397767 0.17131396]
 [0.16397767 0.53803938 0.18832351]
 [0.17131396 0.18832351 0.93768373]]","[[ 4.67708203 -1.21150471 -0.61118114]
 [-1.21150471  2.31294984 -0.24318986]
 [-0.61118114 -0.24318986  1.22696192]]",deblcquad296,-0.6645996804043618
-2.4608804162718485,-6.322510004077066,19.921781208288017,"[[ 9.35519513  6.00644238  6.2940823 ]
 [ 6.00644238 13.16275033  7.3119517 ]
 [ 6.2940823   7.3119517  41.32947872]]","[[ 0.15674894 -0.06461782 -0.01243927]
 [-0.06461782  0.11089007 -0.00977784]
 [-0.01243927 -0.00977784  0.02782007]]",deblcquad612,-6.303275486208375
-20.117621867615405,,,[[16.14700668]],[[0.06193098]],deblcdouble549,-9.096975765255438
-5.739716482324633,-9.774640837100481,-11.850058792325044,"[[1.77339353 0.76553381 0.77755212]
 [0.76553381 1.62951437 0.59826827]
 [0.77755212 0.59826827 1.7579366 ]]","[[ 0.79776214 -0.28024944 -0.25748215]
 [-0.28024944  0.79975699 -0.14821961]
 [-0.25748215 -0.14821961  0.73317825]]",deblcquad27,-0.56789373279257
-6.335723664590485,-12.716384330228538,-15.49595881145984,"[[21.26012286  8.82692044  8.98061434]
 [ 8.82692044 60.49067981  9.87710008]
 [ 8.98061434  9.87710008 61.16453693]]","[[ 0.05258289 -0.00658602 -0.00665706]
 [-0.00658602  0.01780407 -0.00190807]
 [-0.00665706 -0.00190807  0.0176349 ]]",deblcquad673,-2.8025124880911325
-0.8781516591152857,-1.5114380133567948,-5.866307801714698,"[[0.43702491 0.20601596 0.21177635]
 [0.20601596 1.56411511 0.19251191]
 [0.21177635 0.19251191 0.97173603]]","[[ 2.67929353 -0.28805604 -0.5268476 ]
 [-0.28805604  0.68628762 -0.07318354]
 [-0.5268476  -0.07318354  1.15840365]]",deblcquad508,-1.519182980644992
-0.1533532165329622,,,[[0.32740272]],[[3.05434241]],deblcdouble506,-0.4573638934809207
21.607976198964494,1.016629157404306,-4.018689061442356,"[[3.58048801 1.15169005 1.09963132]
 [1.15169005 1.14613658 0.59804392]
 [1.09963132 0.59804392 1.45509066]]","[[ 0.45338174 -0.35236638 -0.19780362]
 [-0.35236638  1.38454936 -0.30276342]
 [-0.19780362 -0.30276342  0.96116133]]",deblcquad41,-0.0708968132285977
-5.955700064881553,,,[[0.52386052]],[[1.90890506]],deblcdouble465,-4.912996184310753
-19.37996381686617,,,[[9.54814344]],[[0.1047324]],deblcdouble467,-11.150358224908672
0.44886036060401624,3.1606907946717024,-6.123860409415238,"[[3.61808081 1.93620276 1.83390796]
 [1.93620276 3.90458012 1.9216086 ]
 [1.83390796 1.9216086  5.73847074]]","[[ 0.40064025 -0.16242469 -0.07364691]
 [-0.16242469  0.37249385 -0.07282697]
 [-0.07364691 -0.07282697  0.22218578]]",deblcquad169,-0.568979484485674
-13.67161649004969,,,[[3.60846852]],[[0.27712588]],deblcdouble483,-7.993871995261717
-14.906487278643462,,,[[3.30865414]],[[0.3022377]],deblcdouble451,-7.562533794453509
-10.751709687227,,,[[43.84120465]],[[0.02280959]],deblcdouble546,-5.590909953152416
2.5628200251910265,,,[[8.00865832]],[[0.12486486]],deblcdouble499,-0.8228620514593745
-12.683828313060486,,,[[1.17740316]],[[0.84932675]],deblcdouble496,-10.22775035260106
-12.717964968212037,,,[[7.30694351]],[[0.13685613]],deblcdouble445,-5.180609430573969
-16.84391377217882,,,[[4.62848934]],[[0.21605321]],deblcdouble553,-9.3107755941177
-12.586222921470593,,,[[12.29323034]],[[0.08134558]],deblcdouble469,-4.6536548679575915
-1.181243849003522,-1.5185938271207273,-0.1671313510748401,"[[ 0.93215459  0.46696097  0.48029803]
 [ 0.46696097  0.82406854  0.52969378]
 [ 0.48029803  0.52969378 11.0045374 ]]","[[ 1.50487603 -0.83640222 -0.02542151]
 [-0.83640222  1.71710291 -0.04614609]
 [-0.02542151 -0.04614609  0.09420234]]",deblcquad421,-0.3489299898978376
-1.6057576574869885,-3.1096022340090266,-5.65477262688447,"[[0.98290899 0.54033509 0.53691033]
 [0.54033509 1.59478022 0.491434  ]
 [0.53691033 0.491434   1.96652514]]","[[ 1.38074463 -0.38098925 -0.28176857]
 [-0.38098925  0.78448767 -0.09202366]
 [-0.28176857 -0.09202366  0.60843769]]",deblcquad285,-1.6740401131113738
-20.63343183989465,,,[[14.15467604]],[[0.07064803]],deblcdouble442,-9.558087866731247
